,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME,NUMBER_OWN_CHILDREN,YEAR
38,White Only,,,100.0,,,,2019
39,White Only,,,20.0,,,,2019
41,Black Only,,,4.0,,,,2019
42,Black Only,,,4.0,,,,2019
43,White Only,,,50.0,,,,2019
44,White Only,,,50.0,,,,2019
45,White Only,,,50.0,,,,2019
46,White Only,,,50.0,,,,2019
47,White Only,,,50.0,,,,2019
48,White Only,,,50.0,,,,2019
49,White Only,,,60.0,,,,2019
50,White Only,,,60.0,,,,2019
51,White Only,,,60.0,,,,2019
52,White Only,,,60.0,,,,2019
53,White Only,,,30.0,,,,2019
54,White Only,,,30.0,,,,2019
55,White Only,,,30.0,,,,2019
56,White Only,,,30.0,,,,2019
57,White Only,,,250.0,,,,2019
58,White Only,,,250.0,,,,2019
59,White Only,,,250.0,,,,2019
60,White Only,,,250.0,,,,2019
61,White Only,,,250.0,,,,2019
65,Black Only,,,4.0,,,,2019
68,Black Only,,,4.0,,,,2019
69,Black Only,,,4.0,,,,2019
71,Black Only,,,140.0,,,,2019
72,Black Only,,,140.0,,,,2019
78,White Only,,,30.0,,,,2019
79,White Only,,,20.0,,,,2019
81,White Only,,,40.0,,,,2019
82,White Only,,,40.0,,,,2019
84,Black Only,,,10.0,,,,2019
86,Black Only,,,130.0,,,,2019
87,Black Only,,,130.0,,,,2019
88,Black Only,,,130.0,,,,2019
89,Black Only,,,130.0,,,,2019
90,White Only,,,10.0,,,,2019
92,Black Only,,,20.0,,,,2019
93,White Only,,,30.0,,,,2019
94,White Only,,,30.0,,,,2019
95,White Only,,,30.0,,,,2019
96,White Only,,,40.0,,,,2019
97,White Only,,,40.0,,,,2019
98,White Only,,,20.0,,,,2019
99,White Only,,,30.0,,,,2019
100,White Only,,,30.0,,,,2019
101,White Only,,,30.0,,,,2019
102,White Only,,,30.0,,,,2019
109,White Only,,,20.0,,,,2019
113,Black Only,,,20.0,,,,2019
114,Black Only,,,20.0,,,,2019
122,Black Only,,,50.0,,,,2019
129,Black Only,,,4.0,,,,2019
130,Black Only,,,4.0,,,,2019
134,White Only,,,200.0,,,,2019
135,White Only,,,200.0,,,,2019
146,Black Only,,,30.0,,,,2019
147,Black Only,,,30.0,,,,2019
148,Black Only,,,30.0,,,,2019
149,Black Only,,,30.0,,,,2019
152,Black Only,,,20.0,,,,2019
166,White Only,,,20.0,,,,2019
167,White Only,,,20.0,,,,2019
172,White Only,,,80.0,,,,2019
173,White Only,,,80.0,,,,2019
174,White Only,,,20.0,,,,2019
175,White Only,,,20.0,,,,2019
176,White Only,,,20.0,,,,2019
177,White Only,,,20.0,,,,2019
178,White Only,,,20.0,,,,2019
188,White Only,,,100.0,,,,2019
189,White Only,,,100.0,,,,2019
190,White Only,,,100.0,,,,2019
191,Black Only,,,4.0,,,,2019
198,White Only,,,20.0,,,,2019
204,Black Only,,,60.0,,,,2019
206,Black Only,,,50.0,,,,2019
207,Black Only,,,50.0,,,,2019
208,Black Only,,,50.0,,,,2019
213,White Only,,,250.0,,,,2019
214,Black Only,,,4.0,,,,2019
215,Black Only,,,4.0,,,,2019
216,Black Only,,,4.0,,,,2019
217,Black Only,,,4.0,,,,2019
218,Black Only,,,4.0,,,,2019
221,White Only,,,40.0,,,,2019
222,White Only,,,40.0,,,,2019
223,White Only,,,40.0,,,,2019
224,Black Only,,,30.0,,,,2019
225,Black Only,,,30.0,,,,2019
226,Black Only,,,30.0,,,,2019
233,Black Only,,,40.0,,,,2019
234,Black Only,,,40.0,,,,2019
235,Black Only,,,40.0,,,,2019
236,Black Only,,,40.0,,,,2019
239,White Only,,,100.0,,,,2019
240,Asian Only,,,100.0,,,,2019
245,Black Only,,,30.0,,,,2019
246,Black Only,,,30.0,,,,2019
247,Black Only,,,30.0,,,,2019
248,Black Only,,,30.0,,,,2019
249,Black Only,,,30.0,,,,2019
257,White Only,,,30.0,,,,2019
258,White Only,,,30.0,,,,2019
259,White Only,,,30.0,,,,2019
260,White Only,,,60.0,,,,2019
261,White Only,,,60.0,,,,2019
262,Black Only,,,200.0,,,,2019
263,Black Only,,,200.0,,,,2019
264,Black Only,,,200.0,,,,2019
265,Black Only,,,200.0,,,,2019
266,White Only,,,10.0,,,,2019
281,White Only,,,30.0,,,,2019
282,White Only,,,30.0,,,,2019
283,White Only,,,30.0,,,,2019
284,White Only,,,30.0,,,,2019
286,White Only,,,10.0,,,,2019
289,White Only,,,40.0,,,,2019
290,White Only,,,40.0,,,,2019
291,White Only,,,40.0,,,,2019
292,White Only,,,40.0,,,,2019
302,Black Only,,,10.0,,,,2019
303,Black Only,,,20.0,,,,2019
304,Black Only,,,20.0,,,,2019
313,Black Only,,,4.0,,,,2019
314,Black Only,,,4.0,,,,2019
315,Black Only,,,4.0,,,,2019
316,Black Only,,,4.0,,,,2019
319,White Only,,,20.0,,,,2019
320,White Only,,,20.0,,,,2019
321,White Only,,,20.0,,,,2019
329,Black Only,,,30.0,,,,2019
330,Black Only,,,30.0,,,,2019
332,White Only,,,30.0,,,,2019
333,White Only,,,30.0,,,,2019
339,White Only,,,50.0,,,,2019
340,White Only,,,50.0,,,,2019
341,White Only,,,50.0,,,,2019
352,White Only,,,100.0,,,,2019
353,White Only,,,100.0,,,,2019
354,White Only,,,100.0,,,,2019
355,White Only,,,100.0,,,,2019
364,Black Only,,,20.0,,,,2019
368,White Only,,,40.0,,,,2019
369,White Only,,,40.0,,,,2019
370,White Only,,,40.0,,,,2019
371,White Only,,,40.0,,,,2019
374,Black Only,,,30.0,,,,2019
375,Black Only,,,30.0,,,,2019
376,Black Only,,,30.0,,,,2019
377,Black Only,,,30.0,,,,2019
409,Black Only,,,20.0,,,,2019
410,Black Only,,,30.0,,,,2019
411,Black Only,,,30.0,,,,2019
415,White Only,,,40.0,,,,2019
416,White Only,,,40.0,,,,2019
417,Black Only,,,20.0,,,,2019
419,Black Only,,,50.0,,,,2019
425,White Only,,,30.0,,,,2019
427,White Only,,,40.0,,,,2019
429,Black Only,,,30.0,,,,2019
