,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
720,White Only,,,100.0,,
721,White Only,,,100.0,,
722,White Only,,,100.0,,
723,White Only,,,100.0,,
724,White Only,,,100.0,,
725,White Only,,,100.0,,
726,White Only,,,100.0,,
732,White Only,,,30.0,,
750,Black Only,,,20.0,,
751,Black Only,,,20.0,,
754,White Only,,,20.0,,
755,White Only,,,20.0,,
769,White Only,,,50.0,,
770,White Only,,,50.0,,
781,White Only,,,4.0,,
782,White Only,,,4.0,,
785,White Only,,,4.0,,
786,White Only,,,4.0,,
790,Black Only,,,30.0,,
791,Black Only,,,30.0,,
792,Black Only,,,30.0,,
799,Black Only,,,10.0,,
800,Black Only,,,10.0,,
807,Black Only,,,50.0,,
811,White Only,,,20.0,,
812,White Only,,,20.0,,
813,White Only,,,20.0,,
822,Black Only,,,50.0,,
823,Black Only,,,50.0,,
824,Black Only,,,50.0,,
830,White Only,,,60.0,,
831,White Only,,,60.0,,
832,White Only,,,60.0,,
833,White Only,,,60.0,,
834,White Only,,,60.0,,
836,White Only,,,150.0,,
837,White Only,,,150.0,,
838,White Only,,,150.0,,
839,Black Only,,,20.0,,
841,Black Only,,,290.0,,
842,White Only,,,20.0,,
843,White Only,,,20.0,,
844,White Only,,,70.0,,
845,White Only,,,70.0,,
846,White Only,,,70.0,,
870,White Only,,,30.0,,
872,Black Only,,,60.0,,
873,Black Only,,,100.0,,
874,Black Only,,,100.0,,
875,Black Only,,,100.0,,
876,Black Only,,,30.0,,
877,Black Only,,,30.0,,
878,Black Only,,,30.0,,
882,White-Black,,,50.0,,
883,White-Black,,,50.0,,
884,White Only,,,100.0,,
885,White Only,,,100.0,,
886,White Only,,,100.0,,
887,White Only,,,100.0,,
888,White Only,,,10.0,,
889,White Only,,,10.0,,
890,White Only,,,80.0,,
891,White Only,,,80.0,,
892,White Only,,,80.0,,
893,Black Only,,,20.0,,
894,White Only,,,60.0,,
895,White Only,,,60.0,,
896,White Only,,,60.0,,
897,White Only,,,50.0,,
898,White Only,,,50.0,,
901,White Only,,,200.0,,
902,White Only,,,200.0,,
