,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
11123,11,3,1,1,4,0,120,-1,-1,-1,-1
11124,14,1,7,1,4,0,50,-1,-1,-1,-1
11125,14,2,1,1,1,0,100,-1,-1,-1,-1
11126,14,2,1,1,4,0,100,-1,-1,-1,-1
11127,14,2,1,2,4,0,-1,-1,-1,-1,-1
11128,14,2,1,2,4,0,-1,-1,-1,-1,-1
11129,13,1,7,2,1,0,-1,10,-1,-1,-1
11130,12,2,1,2,1,0,130,20,-1,-1,-1
11131,12,2,1,2,1,0,130,20,-1,-1,-1
11132,11,3,1,1,1,1,-1,-1,-1,-1,-1
11133,11,3,1,1,1,1,-1,-1,-1,-1,-1
11134,11,3,1,1,-1,0,-1,-1,-1,-1,-1
11135,4,1,6,2,1,0,30,-1,-1,2,-1
11136,4,1,7,2,4,0,50,-1,-1,2,-1
11137,1,2,4,2,4,0,70,-1,-1,2,-1
11138,1,2,4,2,4,0,70,-1,-1,2,-1
11139,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11140,9,4,4,2,1,10,180,4,50,2,-1
11141,9,4,4,2,4,0,180,4,50,2,-1
11142,9,4,4,2,4,0,180,4,50,2,-1
11143,9,4,4,2,-1,0,180,4,50,2,-1
11144,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11145,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11146,3,3,1,1,4,0,100,20,-1,2,-1
11147,3,3,1,1,1,0,100,20,-1,2,-1
11148,3,3,1,1,4,0,100,20,-1,2,-1
11149,13,1,6,2,1,0,-1,-1,-1,-1,-1
11150,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11151,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1
11152,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11153,1,2,3,1,4,0,-1,-1,-1,-1,-1
11154,1,2,3,1,4,0,-1,-1,-1,-1,-1
11155,1,1,7,2,1,0,50,-1,-1,2,-1
11156,7,2,1,2,4,0,80,30,-1,2,-1
11157,7,2,1,2,4,0,80,30,-1,2,-1
11158,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11159,12,2,6,1,1,0,40,30,50,-1,-1
11160,12,2,6,1,1,0,40,30,50,-1,-1
11161,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11162,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11163,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11164,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11165,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11166,13,3,4,1,1,10,100,50,-1,-1,-1
11167,13,3,4,1,-1,0,100,50,-1,-1,-1
11168,13,3,4,1,-1,0,100,50,-1,-1,-1
11169,8,2,1,1,4,0,200,-1,-1,2,-1
11170,8,2,1,1,1,0,200,-1,-1,2,-1
11171,16,4,1,1,1,0,-1,-1,-1,-1,-1
11172,16,4,1,1,1,0,-1,-1,-1,-1,-1
11173,16,4,1,1,1,0,-1,-1,-1,-1,-1
11174,16,4,1,1,4,0,-1,-1,-1,-1,-1
11175,8,1,7,1,1,0,50,-1,-1,2,-1
11176,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11177,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11178,12,1,6,2,1,0,50,-1,-1,-1,-1
11179,14,4,1,1,1,10,90,100,-1,2,-1
11180,14,4,1,1,1,10,90,100,-1,2,-1
11181,14,4,1,1,4,0,90,100,-1,2,-1
11182,14,4,1,1,-1,0,90,100,-1,2,-1
11183,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11184,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
11185,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11186,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11187,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11188,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11189,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11190,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11191,3,1,7,2,4,0,50,20,100,1,20
11192,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
11193,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22033,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22034,7,4,1,1,1,3,200,40,-1,1,140
22035,7,4,1,1,4,3,200,40,-1,1,140
22036,7,4,1,1,-1,0,200,40,-1,1,140
22037,7,4,1,1,-1,0,200,40,-1,1,140
22038,5,1,6,1,4,0,-1,-1,-1,-1,-1
22039,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22040,1,4,1,2,2,10,-1,30,-1,1,640
22041,1,4,1,2,1,10,-1,30,-1,1,640
22042,1,4,1,2,4,0,-1,30,-1,1,640
22043,1,4,1,2,-1,0,-1,30,-1,1,640
22044,2,6,1,2,4,10,40,-1,60,1,400
22045,2,6,1,2,1,10,40,-1,60,1,400
22046,2,6,1,2,-1,0,40,-1,60,1,400
22047,2,6,1,2,-1,0,40,-1,60,1,400
22048,2,6,1,2,-1,0,40,-1,60,1,400
22049,2,6,1,2,-1,0,40,-1,60,1,400
22050,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22051,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22052,16,4,1,1,1,5,-1,-1,-1,-1,-1
22053,16,4,1,1,1,5,-1,-1,-1,-1,-1
22054,16,4,1,1,-1,0,-1,-1,-1,-1,-1
22055,16,4,1,1,-1,0,-1,-1,-1,-1,-1
22056,16,2,1,1,1,0,-1,-1,-1,-1,-1
22057,16,2,1,1,1,0,-1,-1,-1,-1,-1
22058,8,5,4,1,4,5,300,-1,-1,1,300
22059,8,5,4,1,2,5,300,-1,-1,1,300
22060,8,5,4,1,-1,0,300,-1,-1,1,300
22061,8,5,4,1,-1,0,300,-1,-1,1,300
22062,8,5,4,1,-1,0,300,-1,-1,1,300
22063,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22064,4,1,7,1,4,0,-1,-1,-1,-1,-1
22065,13,2,1,1,4,0,-1,-1,-1,-1,-1
22066,13,2,1,1,4,0,-1,-1,-1,-1,-1
22067,3,1,7,2,4,0,-1,-1,-1,2,-1
22068,10,5,1,2,4,11,-1,-1,-1,-1,-1
22069,10,5,1,2,4,11,-1,-1,-1,-1,-1
22070,10,5,1,2,-1,0,-1,-1,-1,-1,-1
22071,10,5,1,2,-1,0,-1,-1,-1,-1,-1
22072,10,5,1,2,-1,0,-1,-1,-1,-1,-1
22073,8,2,4,2,4,0,-1,-1,-1,-1,-1
22074,8,2,4,2,1,0,-1,-1,-1,-1,-1
22075,6,1,7,2,4,0,180,20,-1,2,-1
22076,8,2,1,2,4,0,200,30,-1,1,20
22077,8,2,1,2,4,0,200,30,-1,1,20
22078,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22079,9,2,1,1,1,0,-1,-1,-1,-1,-1
22080,9,2,1,1,4,0,-1,-1,-1,-1,-1
22081,2,2,7,1,4,0,120,40,-1,2,-1
22082,2,2,7,1,1,0,120,40,-1,2,-1
22083,3,1,7,2,4,0,70,20,30,1,20
22084,1,1,7,1,2,0,-1,-1,60,2,-1
22085,1,1,7,2,1,0,150,50,-1,2,-1
22086,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22087,11,2,1,1,4,0,150,-1,-1,-1,-1
22088,11,2,1,1,4,0,150,-1,-1,-1,-1
22089,12,1,6,1,4,0,-1,-1,-1,-1,-1
22090,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22091,6,1,7,1,1,0,60,30,-1,2,-1
22092,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22093,1,1,6,1,2,0,-1,40,100,2,-1
22094,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22095,2,3,1,2,1,0,150,30,100,2,-1
22096,2,3,1,2,4,0,150,30,100,2,-1
22097,2,3,1,2,4,0,150,30,100,2,-1
22098,15,2,1,2,1,0,70,100,-1,-1,-1
22099,15,2,1,2,1,0,70,100,-1,-1,-1
22100,13,2,1,1,4,0,150,100,-1,-1,-1
22101,13,2,1,1,1,0,150,100,-1,-1,-1
22102,8,2,1,2,1,0,50,40,-1,2,-1
22103,8,2,1,2,1,0,50,40,-1,2,-1
22104,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22105,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
22106,10,2,1,1,1,0,-1,30,-1,-1,-1
