,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,PRNMCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
7562,12,1,6,1,1,0,0,80,200,-1,-1,-1
7563,7,2,4,1,4,0,0,-1,-1,-1,-1,-1
7564,7,2,4,1,4,0,0,-1,-1,-1,-1,-1
7565,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7566,7,4,4,2,1,10,2,130,120,-1,1,500
7567,7,4,4,2,4,1,1,130,120,-1,1,500
7568,7,4,4,2,-1,0,0,130,120,-1,1,500
7569,7,4,4,2,-1,0,0,130,120,-1,1,500
7570,7,1,6,2,4,0,0,-1,-1,-1,-1,-1
7571,3,1,6,2,4,0,0,-1,-1,-1,-1,-1
7572,3,1,6,2,4,0,0,-1,-1,-1,-1,-1
7573,4,1,7,2,4,0,0,-1,-1,-1,1,180
7574,13,2,1,2,4,0,0,60,-1,-1,-1,-1
7575,13,2,1,4,1,0,0,60,-1,-1,-1,-1
7576,12,2,4,2,4,0,0,-1,-1,-1,-1,-1
7577,12,2,4,2,2,0,0,-1,-1,-1,-1,-1
7578,15,2,1,2,4,0,0,150,150,-1,-1,-1
7579,15,2,1,1,1,0,0,150,150,-1,-1,-1
7580,5,1,7,1,4,0,0,60,-1,-1,1,-3
7581,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7582,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7583,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7584,12,2,1,1,1,0,0,-1,40,-1,-1,-1
7585,12,2,1,1,1,0,0,-1,40,-1,-1,-1
7586,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7587,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7588,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7589,6,1,6,1,4,0,0,-1,-1,-1,-1,-1
7590,14,1,6,2,1,0,0,200,-1,-1,-1,-1
7591,5,1,7,1,4,0,0,-1,-1,-1,-1,-1
7592,10,2,3,2,1,0,0,-1,-1,-1,-1,-1
7593,10,2,3,2,4,0,0,-1,-1,-1,-1,-1
7594,9,1,6,1,1,0,0,30,20,-1,-1,-1
7595,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7596,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7597,14,5,1,2,1,0,0,-1,40,80,2,-1
7598,14,5,1,2,4,0,0,-1,40,80,2,-1
7599,14,5,1,2,2,0,0,-1,40,80,2,-1
7600,14,5,1,2,4,0,0,-1,40,80,2,-1
7601,14,5,1,2,1,0,0,-1,40,80,2,-1
7602,11,5,1,2,1,6,3,250,50,-1,-1,-1
7603,11,5,1,2,1,6,3,250,50,-1,-1,-1
7604,11,5,1,2,-1,0,0,250,50,-1,-1,-1
7605,11,5,1,2,-1,0,0,250,50,-1,-1,-1
7606,11,5,1,2,-1,0,0,250,50,-1,-1,-1
7607,7,2,1,1,4,0,0,100,-1,-1,2,-1
7608,7,2,1,1,4,0,0,100,-1,-1,2,-1
7609,15,4,1,1,1,0,0,-1,100,-1,-1,-1
7610,15,4,1,1,1,0,0,-1,100,-1,-1,-1
7611,15,4,1,1,2,0,0,-1,100,-1,-1,-1
7612,15,4,1,1,1,0,0,-1,100,-1,-1,-1
7613,7,6,1,2,4,13,3,100,50,200,1,600
7614,7,6,1,2,4,13,3,100,50,200,1,600
7615,7,6,1,2,4,0,0,100,50,200,1,600
7616,7,6,1,2,4,0,0,100,50,200,1,600
7617,7,6,1,2,-1,0,0,100,50,200,1,600
7618,7,6,1,2,-1,0,0,100,50,200,1,600
7619,12,1,6,1,1,0,0,-1,-1,-1,-1,-1
7620,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7621,6,2,1,2,1,0,0,-1,-1,-1,-1,-1
7622,6,2,1,2,2,0,0,-1,-1,-1,-1,-1
7623,6,3,4,2,1,4,2,80,60,-1,1,220
7624,6,3,4,2,2,0,0,80,60,-1,1,220
7625,6,3,4,2,2,0,0,80,60,-1,1,220
7626,12,2,1,1,1,0,0,250,-1,-1,-1,-1
7627,12,2,1,1,4,0,0,250,-1,-1,-1,-1
7628,7,2,1,1,4,0,0,200,-1,-1,-1,-1
7629,7,2,1,1,4,0,0,200,-1,-1,-1,-1
7630,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7631,16,4,1,2,1,4,2,180,-1,-1,-1,-1
7632,16,4,1,2,1,4,2,180,-1,-1,-1,-1
7633,16,4,1,2,4,0,0,180,-1,-1,-1,-1
7634,16,4,1,2,-1,0,0,180,-1,-1,-1,-1
7635,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7636,8,4,1,2,2,5,2,200,-1,80,-1,-1
7637,8,4,1,2,1,5,2,200,-1,80,-1,-1
7638,8,4,1,2,-1,0,0,200,-1,80,-1,-1
7639,8,4,1,2,-1,0,0,200,-1,80,-1,-1
7640,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7641,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7642,1,1,7,1,4,0,0,40,-1,20,2,-1
7643,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7644,12,1,6,1,1,0,0,-1,-1,-1,-1,-1
7645,12,4,4,2,1,0,0,150,20,-1,2,-1
7646,12,4,4,2,4,5,2,150,20,-1,2,-1
7647,12,4,4,2,-1,0,0,150,20,-1,2,-1
7648,12,4,4,2,-1,0,0,150,20,-1,2,-1
7649,11,2,1,2,4,0,0,-1,-1,-1,-1,-1
7650,11,2,1,2,4,0,0,-1,-1,-1,-1,-1
7651,9,1,7,1,4,0,0,200,-1,-1,-1,-1
7652,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7653,6,1,7,1,4,0,0,100,10,50,2,-1
7654,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7655,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7656,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7657,16,1,7,1,4,0,0,130,60,-1,-1,-1
7658,12,3,4,1,1,10,2,-1,80,100,2,-1
7659,12,3,4,1,4,0,0,-1,80,100,2,-1
7660,12,3,4,1,-1,0,0,-1,80,100,2,-1
7661,11,1,6,1,4,0,0,-2,-1,-1,-1,-1
7662,8,1,6,1,4,0,0,80,-1,-2,2,-1
7663,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7664,6,1,6,1,4,0,0,-1,-1,-1,-1,-1
7665,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7666,12,1,6,1,1,0,0,150,-1,-1,-1,-1
7667,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7668,5,4,1,2,1,0,0,250,-1,-1,2,-1
7669,5,4,1,2,1,0,0,250,-1,-1,2,-1
7670,5,4,1,2,1,1,1,250,-1,-1,2,-1
7671,5,4,1,2,-1,0,0,250,-1,-1,2,-1
7672,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
