Metropolitan Statistical Area,Rank,Percent,Margin of Error,Percent,Margin of Error,Percent,Margin of Error,Ratio
"New Orleans-Metairie, LA",5,0.210812032222748,0.0282851308584213,0.249452069401741,0.0669251680374146,0.18917378783226,0.00664688646793365,1.31863975524902
"New York-Newark-Jersey City, NY-NJ-PA",49,0.154773622751236,0.0068696141242981,0.191404432058334,0.0435004234313965,0.133101806044579,-0.0148022025823593,1.43803036212921
"North Port-Sarasota-Bradenton, FL",84,0.128930479288101,0.0309772193431854,0.163039162755013,0.0650859028100967,0.118764899671078,0.020811639726162,1.37278914451599
"Ogden-Clearfield, UT",94,0.11762923002243,0.0281914696097374,0.134408548474312,0.0449707880616188,0.105362199246883,0.0159244388341904,1.27568089962006
"Oklahoma City, OK",15,0.191661968827248,0.0240373015403748,0.22852835059166,0.0609036833047867,0.170683979988098,0.00305931270122528,1.33889746665955
"Omaha-Council Bluffs, NE-IA",74,0.138589680194855,0.0232593268156052,0.162620693445206,0.0472903400659561,0.12442996352911,0.00909961014986038,1.30692553520203
"Orlando-Kissimmee-Sanford, FL",20,0.181681096553802,0.02004075050354,0.229101628065109,0.0674612820148468,0.155766487121582,-0.00587385892868042,1.47080183029175
"Oxnard-Thousand Oaks-Ventura, CA",104,0.0963113829493523,0.025008961558342,0.121805422008038,0.0505030006170273,0.073142297565937,0.00183987617492676,1.66532123088837
"Palm Bay-Melbourne-Titusville, FL",24,0.175066143274307,0.0381036847829819,0.29606306552887,0.159100607037544,0.132155254483223,-0.00480720400810242,2.24026703834534
"Pensacola-Ferry Pass-Brent, FL",38,0.164079234004021,0.0387505441904068,0.190265759825706,0.0649370700120926,0.150099262595177,0.0247705727815628,1.26759958267212
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",54,0.150172129273415,0.0112033635377884,0.181984588503838,0.0430158227682114,0.133363962173462,-0.00560480356216431,1.36457097530365
"Phoenix-Mesa-Scottsdale, AZ",43,0.15770497918129,0.0133729428052902,0.214401721954346,0.0700696855783463,0.124924197793007,-0.0194078385829926,1.71625459194183
"Pittsburgh, PA",89,0.12009621411562,0.0143579542636871,0.153160497546196,0.0474222376942635,0.106285087764263,0.000546827912330627,1.44103467464447
"Portland-South Portland, ME",91,0.119694963097572,0.0304293036460876,0.131644189357758,0.0423785299062729,0.114719711244106,0.0254540517926216,1.14752888679504
"Portland-Vancouver-Hillsboro, OR-WA",81,0.131214514374733,0.0150856450200081,0.166060969233513,0.049932099878788,0.114548318088055,-0.00158055126667023,1.44970238208771
"Providence-Warwick, RI-MA",28,0.171715319156647,0.0238056033849716,0.200029745697975,0.0521200299263,0.159122079610825,0.0112123638391495,1.2570835351944
"Provo-Orem, UT",106,0.0814212709665298,0.0242198035120964,0.086258202791214,0.0290567353367805,0.0778663977980614,0.0206649303436279,1.10777187347412
"Raleigh, NC",86,0.127688497304916,0.0224125608801842,0.142030075192451,0.0367541387677193,0.119415797293186,0.014139860868454,1.18937420845032
"Richmond, VA",34,0.165748968720436,0.0263058543205261,0.181365936994553,0.0419228225946426,0.157987207174301,0.0185440927743912,1.14797866344452
"Riverside-San Bernardino-Ontario, CA",31,0.169583857059479,0.0158642083406448,0.176855325698853,0.0231356769800186,0.164654091000557,0.010934442281723,1.07410228252411
"Rochester, NY",73,0.138703763484955,0.0238070785999298,0.183234915137291,0.0683382302522659,0.120781071484089,0.00588438659906387,1.5170830488205
"Sacramento--Roseville--Arden-Arcade, CA",75,0.13737878203392,0.0176268741488457,0.141113460063934,0.0213615521788597,0.135604694485664,0.0158527866005898,1.04062366485596
"St. Louis, MO-IL",68,0.138988733291626,0.0165534391999245,0.184502571821213,0.0620672777295113,0.116229146718979,-0.00620614737272263,1.58740365505219
"Salt Lake City, UT",71,0.138819962739944,0.0229039415717125,0.167522117495537,0.0516060963273048,0.120284087955952,0.00436806678771973,1.39272046089172
"San Antonio-New Braunfels, TX",25,0.174441516399384,0.0203599184751511,0.217981576919556,0.0638999789953232,0.145322576165199,-0.0087590217590332,1.49998426437378
"San Diego-Carlsbad, CA",96,0.115643918514252,0.0141533389687538,0.11746372282505,0.0159731432795525,0.115292690694332,0.0138021111488342,1.01883065700531
"San Francisco-Oakland-Hayward, CA",101,0.106474108994007,0.0122350603342056,0.112618662416935,0.0183796137571335,0.10296756029129,0.0087285116314888,1.0937294960022
"San Jose-Sunnyvale-Santa Clara, CA",105,0.091790147125721,0.0198924019932747,0.113337509334087,0.0414397642016411,0.0795331671833992,0.00763542205095291,1.42503452301025
"Santa Rosa, CA",66,0.140089780092239,0.0496409758925438,0.185963124036789,0.0955143198370934,0.123581260442734,0.0331324562430382,1.50478422641754
"Scranton--Wilkes-Barre--Hazleton, PA",79,0.133398622274399,0.0309360772371292,0.197419822216034,0.0949572771787643,0.108184620738029,0.00572207570075989,1.82484185695648
"Seattle-Tacoma-Bellevue, WA",93,0.118778742849827,0.0122291669249535,0.12499625980854,0.018446683883667,0.115778975188732,0.0092293992638588,1.07961106300354
"Spokane-Spokane Valley, WA",32,0.169505730271339,0.0309374630451202,0.23021587729454,0.0916476100683212,0.138760551810265,0.00019228458404541,1.6590873003006
"Springfield, MA",33,0.16763274371624,0.0503321513533592,0.17884723842144,0.0615466460585594,0.161961391568184,0.0446607992053032,1.10425841808319
"Syracuse, NY",76,0.135895162820816,0.0312291979789734,0.190089508891106,0.085423544049263,0.115256227552891,0.0105902627110481,1.64927756786346
"Tampa-St. Petersburg-Clearwater, FL",19,0.182789102196693,0.0167250484228134,0.223511576652527,0.0574475228786469,0.163295552134514,-0.00276850163936615,1.36875486373901
"Toledo, OH",53,0.151836946606636,0.0524488389492035,0.185328274965286,0.0859401673078537,0.137237012386322,0.0378489047288895,1.35042488574982
"Tucson, AZ",21,0.180079385638237,0.0284814983606339,0.226320564746857,0.0747226774692535,0.157321631908417,0.0057237446308136,1.43858516216278
"Tulsa, OK",12,0.19309601187706,0.0282989740371704,0.240294992923737,0.075497955083847,0.168291732668877,0.00349469482898712,1.42784786224365
"Urban Honolulu, HI",65,0.141638398170471,0.0357210487127304,0.162517830729485,0.0566004812717438,0.130029499530792,0.0241121500730515,1.24985349178314
"Virginia Beach-Norfolk-Newport News, VA-NC",60,0.144456818699837,0.0199504271149635,0.169502019882202,0.0449956282973289,0.130346968770027,0.00584057718515396,1.30039095878601
"Washington-Arlington-Alexandria, DC-VA-MD-WV",98,0.115542002022266,0.0101049318909645,0.149829134345055,0.0443920642137527,0.0948889330029488,-0.0105481371283531,1.57899487018585
"Wichita, KS",58,0.145777925848961,0.0320418626070023,0.160331442952156,0.0465953797101974,0.137437269091606,0.0237012058496475,1.16657912731171
"Winston-Salem, NC",7,0.201914772391319,0.0413919687271118,0.232954144477844,0.0724313408136368,0.186603739857674,0.0260809361934662,1.24838948249817
"Worcester, MA-CT",56,0.147599115967751,0.0289639011025429,0.169119954109192,0.0504847392439842,0.137286245822906,0.0186510309576988,1.23187839984894
"Youngstown-Warren-Boardman, OH-PA",2,0.220395907759666,0.0622255653142929,0.348420172929764,0.19024983048439,0.166348963975906,0.00817862153053284,2.09451365470886
